"Chongqing",24.10
"LasPalmasdeGranCanaria",26.68
"Frankfurt",-9.35
"Sapporo",23.41
"Burnie",25.18
"Chittagong",17.75
"Lyon",23.35
"Boston",29.07
"Baltimore",26.74
"Edmonton",1.91
"Wichita",21.03
"GuatemalaCity",35.82
"Toamasina",22.01
"Khartoum",49.37
"Jerusalem",7.23
"Napier",43.36
"Khartoum",24.97
"Kumasi",45.02
"Ashgabat",16.02
"Hargeisa",1.67
"Juba",36.09
"Thessaloniki",8.05
"Boston",17.43
"Tabora",13.03
"Ngaoundéré",22.53
"Helsinki",0.84
"Odesa",7.50
"Darwin",38.78
"Vilnius",12.37
"Sydney",31.45
"Lyon",10.19
"Oulu",14.95
"LakeHavasuCity",25.67
"Bosaso",35.81
"Gagnoa",26.33
"DaresSalaam",29.65
"Kathmandu",14.00
"Milwaukee",2.86
"Petropavlovsk-Kamchatsky",15.56
"Jayapura",22.66
"Honolulu",25.43
"Ouarzazate",14.66
"Omaha",11.30
"Stockholm",-8.38
"Taipei",21.78
"Minsk",16.35
"Kingston",20.38
"Alexandra",19.94
"Monterrey",9.42
"Ulaanbaatar",5.02
"Parakou",29.32
"Burnie",18.37
"Gagnoa",6.61
"Oranjestad",27.24
"KualaLumpur",39.88
"Napier",14.51
"Bloemfontein",15.71
"SantoDomingo",25.55
"Bergen",1.04
"Honiara",30.25
"Tucson",28.75
"Berlin",2.97
"ZanzibarCity",26.76
"Aden",23.96
"Almaty",1.48
"Perth",21.33
"Timbuktu",24.60
"Mahajanga",25.70
"Almaty",-5.33
"Pyongyang",2.83
"Houston",8.21
"Lubumbashi",26.58
"Malabo",18.05
"LaPaz",22.05
"Sana'a",24.41
"Seoul",23.49
"Dushanbe",9.33
"Surabaya",26.42
"Athens",32.88
"Kankan",27.36
"Tauranga",3.69
"Kyoto",9.31
"Dikson",-12.48
"Mombasa",31.50
"Banjul",3.00
"Benghazi",17.25
"Maputo",23.53
"Zürich",23.64
"Mandalay",29.67
"Parakou",38.16
"Bloemfontein",34.17
"Lagos",9.44
"Tabriz",33.42
"Lisbon",33.84
"Wau",30.47
"Gaborone",35.55
"Halifax",3.26
"VirginiaBeach",12.95
"Anchorage",12.89
"Ifrane",18.88
"PalmerstonNorth",5.47
"Mek'ele",37.37
"Tallinn",3.94
"LasVegas",14.84
"Yaoundé",15.97
"GeorgeTown",30.95
"Detroit",-1.93
"Christchurch",31.19
"Alexandria",16.94
"Charlotte",24.16
"Tripoli",-2.71
"Palermo",1.85
"TelAviv",24.62
"Lusaka",15.85
"Kyoto",12.34
"Kinshasa",21.85
"Makassar",27.15
"Aden",33.60
"Reykjavík",16.22
"Bulawayo",31.57
"Astana",13.83
